INFO 2025-10-15 06:38:15,702 middleware 27976 33040 API Response: GET /api/menu/data/ - 200 (0.006s)
INFO 2025-10-15 06:38:15,705 basehttp 27976 33040 "GET /api/menu/data/ HTTP/1.1" 200 948
INFO 2025-10-15 06:42:26,351 basehttp 27976 13848 "GET /admin/menu/counter/ HTTP/1.1" 200 2938
INFO 2025-10-15 06:42:26,388 basehttp 27976 13848 "GET /admin/jsi18n/ HTTP/1.1" 200 1055
INFO 2025-10-15 06:42:34,972 middleware 27976 27908 API Request: GET /api/accounts/staff/profile/
INFO 2025-10-15 06:42:35,042 middleware 27976 27908 API Response: GET /api/accounts/staff/profile/ - 200 (0.070s)
INFO 2025-10-15 06:42:35,044 basehttp 27976 27908 "GET /api/accounts/staff/profile/ HTTP/1.1" 200 135
INFO 2025-10-15 06:42:35,046 middleware 27976 27736 API Request: GET /api/accounts/staff/profile/
INFO 2025-10-15 06:42:35,123 middleware 27976 27736 API Response: GET /api/accounts/staff/profile/ - 200 (0.077s)
INFO 2025-10-15 06:42:35,124 basehttp 27976 27736 "GET /api/accounts/staff/profile/ HTTP/1.1" 200 135
INFO 2025-10-15 06:42:35,153 middleware 27976 27736 API Request: GET /api/menu/staff/items/
INFO 2025-10-15 06:42:35,156 middleware 27976 27908 API Request: GET /api/menu/counters/
INFO 2025-10-15 06:42:35,187 middleware 27976 27908 API Response: GET /api/menu/counters/ - 200 (0.031s)
INFO 2025-10-15 06:42:35,191 basehttp 27976 27908 "GET /api/menu/counters/ HTTP/1.1" 200 681
INFO 2025-10-15 06:42:35,192 middleware 27976 27736 API Response: GET /api/menu/staff/items/ - 200 (0.039s)
INFO 2025-10-15 06:42:35,193 middleware 27976 30256 API Request: GET /api/menu/counters/
INFO 2025-10-15 06:42:35,197 basehttp 27976 27736 "GET /api/menu/staff/items/ HTTP/1.1" 200 1190
INFO 2025-10-15 06:42:35,199 middleware 27976 27908 API Request: GET /api/menu/staff/items/
INFO 2025-10-15 06:42:35,257 middleware 27976 27908 API Response: GET /api/menu/staff/items/ - 200 (0.058s)
INFO 2025-10-15 06:42:35,258 basehttp 27976 27908 "GET /api/menu/staff/items/ HTTP/1.1" 200 1245
INFO 2025-10-15 06:42:35,372 middleware 27976 30256 API Response: GET /api/menu/counters/ - 200 (0.179s)
INFO 2025-10-15 06:42:35,373 basehttp 27976 30256 "GET /api/menu/counters/ HTTP/1.1" 200 641
INFO 2025-10-15 06:42:38,663 middleware 27976 30256 API Request: GET /api/menu/data/
INFO 2025-10-15 06:42:38,670 middleware 27976 30256 API Response: GET /api/menu/data/ - 200 (0.008s)
INFO 2025-10-15 06:42:38,673 basehttp 27976 30256 "GET /api/menu/data/ HTTP/1.1" 200 1033
INFO 2025-10-15 06:42:38,677 middleware 27976 27908 API Request: GET /api/menu/data/
INFO 2025-10-15 06:42:38,687 middleware 27976 27908 API Response: GET /api/menu/data/ - 200 (0.011s)
INFO 2025-10-15 06:42:38,691 basehttp 27976 27908 "GET /api/menu/data/ HTTP/1.1" 200 999
INFO 2025-10-15 06:44:43,321 middleware 27976 32344 API Request: POST /api/menu/staff/items/create/
INFO 2025-10-15 06:44:43,448 middleware 27976 32344 API Response: POST /api/menu/staff/items/create/ - 201 (0.128s)
INFO 2025-10-15 06:44:43,450 basehttp 27976 32344 "POST /api/menu/staff/items/create/ HTTP/1.1" 201 749
INFO 2025-10-15 06:44:43,454 middleware 27976 32344 API Request: GET /api/menu/staff/items/
INFO 2025-10-15 06:44:43,456 middleware 27976 1844 API Request: GET /api/menu/counters/
INFO 2025-10-15 06:44:43,482 middleware 27976 32344 API Response: GET /api/menu/staff/items/ - 200 (0.028s)
INFO 2025-10-15 06:44:43,484 basehttp 27976 32344 "GET /api/menu/staff/items/ HTTP/1.1" 200 1573
INFO 2025-10-15 06:44:43,641 middleware 27976 1844 API Response: GET /api/menu/counters/ - 200 (0.184s)
INFO 2025-10-15 06:44:43,642 basehttp 27976 1844 "GET /api/menu/counters/ HTTP/1.1" 200 654
INFO 2025-10-15 06:44:45,870 middleware 27976 1844 API Request: GET /api/accounts/staff/profile/
INFO 2025-10-15 06:44:45,878 middleware 27976 1844 API Response: GET /api/accounts/staff/profile/ - 200 (0.008s)
INFO 2025-10-15 06:44:45,879 basehttp 27976 1844 "GET /api/accounts/staff/profile/ HTTP/1.1" 200 135
INFO 2025-10-15 06:44:45,880 middleware 27976 32344 API Request: GET /api/accounts/staff/profile/
INFO 2025-10-15 06:44:45,888 middleware 27976 32344 API Response: GET /api/accounts/staff/profile/ - 200 (0.008s)
INFO 2025-10-15 06:44:45,889 basehttp 27976 32344 "GET /api/accounts/staff/profile/ HTTP/1.1" 200 135
INFO 2025-10-15 06:44:45,909 middleware 27976 32344 API Request: GET /api/menu/staff/items/
INFO 2025-10-15 06:44:45,909 middleware 27976 1844 API Request: GET /api/menu/counters/
INFO 2025-10-15 06:44:45,935 middleware 27976 1844 API Response: GET /api/menu/counters/ - 200 (0.026s)
INFO 2025-10-15 06:44:45,939 basehttp 27976 1844 "GET /api/menu/counters/ HTTP/1.1" 200 623
INFO 2025-10-15 06:44:45,942 middleware 27976 11404 API Request: GET /api/menu/counters/
INFO 2025-10-15 06:44:45,943 middleware 27976 32344 API Response: GET /api/menu/staff/items/ - 200 (0.034s)
INFO 2025-10-15 06:44:45,950 basehttp 27976 32344 "GET /api/menu/staff/items/ HTTP/1.1" 200 1587
INFO 2025-10-15 06:44:45,955 middleware 27976 1844 API Request: GET /api/menu/staff/items/
INFO 2025-10-15 06:44:45,978 middleware 27976 1844 API Response: GET /api/menu/staff/items/ - 200 (0.024s)
INFO 2025-10-15 06:44:45,979 basehttp 27976 1844 "GET /api/menu/staff/items/ HTTP/1.1" 200 1557
INFO 2025-10-15 06:44:46,027 middleware 27976 11404 API Response: GET /api/menu/counters/ - 200 (0.084s)
INFO 2025-10-15 06:44:46,028 basehttp 27976 11404 "GET /api/menu/counters/ HTTP/1.1" 200 634
INFO 2025-10-15 06:44:48,378 middleware 27976 11404 API Request: GET /api/menu/data/
INFO 2025-10-15 06:44:48,437 middleware 27976 11404 API Response: GET /api/menu/data/ - 200 (0.058s)
INFO 2025-10-15 06:44:48,440 basehttp 27976 11404 "GET /api/menu/data/ HTTP/1.1" 200 1557
INFO 2025-10-15 06:44:48,442 middleware 27976 1844 API Request: GET /api/menu/data/
INFO 2025-10-15 06:44:48,449 middleware 27976 1844 API Response: GET /api/menu/data/ - 200 (0.007s)
INFO 2025-10-15 06:44:48,451 basehttp 27976 1844 "GET /api/menu/data/ HTTP/1.1" 200 1519
INFO 2025-10-15 06:55:32,740 autoreload 27976 15728 D:\KgBites\backend\accounts\models.py changed, reloading.
INFO 2025-10-15 06:55:33,456 autoreload 26544 3748 Watching for file changes with StatReloader
INFO 2025-10-15 06:55:42,419 autoreload 26544 3748 D:\KgBites\backend\accounts\serializers.py changed, reloading.
INFO 2025-10-15 06:55:42,918 autoreload 31372 28860 Watching for file changes with StatReloader
INFO 2025-10-15 06:55:44,266 autoreload 31372 28860 D:\KgBites\backend\accounts\serializers.py changed, reloading.
INFO 2025-10-15 06:55:44,860 autoreload 30712 28480 Watching for file changes with StatReloader
INFO 2025-10-15 06:55:56,980 autoreload 30712 28480 D:\KgBites\backend\accounts\admin.py changed, reloading.
INFO 2025-10-15 06:55:58,014 autoreload 33732 20992 Watching for file changes with StatReloader
INFO 2025-10-15 06:58:11,013 autoreload 33732 20992 D:\KgBites\backend\accounts\models.py changed, reloading.
INFO 2025-10-15 06:58:11,824 autoreload 12524 7308 Watching for file changes with StatReloader
INFO 2025-10-15 06:59:19,912 basehttp 12524 13392 "GET /admin/menu/counter/ HTTP/1.1" 200 2886
INFO 2025-10-15 06:59:19,953 basehttp 12524 13392 "GET /admin/jsi18n/ HTTP/1.1" 200 1015
INFO 2025-10-15 06:59:43,703 basehttp 12524 13392 "GET /admin/accounts/canteenstaff/ HTTP/1.1" 200 3257
INFO 2025-10-15 06:59:43,743 basehttp 12524 13392 "GET /admin/jsi18n/ HTTP/1.1" 200 1034
ERROR 2025-10-15 06:59:43,902 middleware 12524 30492 Exception in /media/avatars/staff/staff.png: Http404: “D:\KgBites\backend\media\avatars\staff\staff.png” does not exist
Traceback (most recent call last):
  File "D:\KgBites\backend\venv\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "D:\KgBites\backend\venv\lib\site-packages\django\views\static.py", line 40, in serve
    raise Http404(_("“%(path)s” does not exist") % {"path": fullpath})
django.http.response.Http404: “D:\KgBites\backend\media\avatars\staff\staff.png” does not exist
ERROR 2025-10-15 06:59:43,966 log 12524 30492 Internal Server Error: /media/avatars/staff/staff.png
ERROR 2025-10-15 06:59:43,966 basehttp 12524 30492 "GET /media/avatars/staff/staff.png HTTP/1.1" 500 136
INFO 2025-10-15 06:59:45,487 basehttp 12524 30492 "GET /admin/accounts/canteenstaff/add/ HTTP/1.1" 200 3207
INFO 2025-10-15 06:59:45,525 basehttp 12524 30492 "GET /admin/jsi18n/ HTTP/1.1" 200 1046
INFO 2025-10-15 07:00:52,605 basehttp 12524 30492 "GET /admin/accounts/canteenstaff/ HTTP/1.1" 200 3205
INFO 2025-10-15 07:00:52,737 basehttp 12524 30492 "GET /admin/jsi18n/ HTTP/1.1" 200 984
ERROR 2025-10-15 07:00:52,743 middleware 12524 13392 Exception in /media/avatars/staff/staff.png: Http404: “D:\KgBites\backend\media\avatars\staff\staff.png” does not exist
Traceback (most recent call last):
  File "D:\KgBites\backend\venv\lib\site-packages\django\core\handlers\base.py", line 197, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
  File "D:\KgBites\backend\venv\lib\site-packages\django\views\static.py", line 40, in serve
    raise Http404(_("“%(path)s” does not exist") % {"path": fullpath})
django.http.response.Http404: “D:\KgBites\backend\media\avatars\staff\staff.png” does not exist
ERROR 2025-10-15 07:00:52,746 log 12524 13392 Internal Server Error: /media/avatars/staff/staff.png
ERROR 2025-10-15 07:00:52,748 basehttp 12524 13392 "GET /media/avatars/staff/staff.png HTTP/1.1" 500 136
INFO 2025-10-15 07:01:34,882 basehttp 12524 13392 "POST /admin/accounts/canteenstaff/ HTTP/1.1" 200 2459
INFO 2025-10-15 07:01:36,032 basehttp 12524 13392 "POST /admin/accounts/canteenstaff/ HTTP/1.1" 302 0
INFO 2025-10-15 07:01:36,056 basehttp 12524 13392 "GET /admin/accounts/canteenstaff/ HTTP/1.1" 200 2711
INFO 2025-10-15 07:01:36,102 basehttp 12524 13392 "GET /admin/jsi18n/ HTTP/1.1" 200 992
INFO 2025-10-15 07:01:38,043 basehttp 12524 13392 "GET /admin/accounts/canteenstaff/add/ HTTP/1.1" 200 3249
INFO 2025-10-15 07:01:38,103 basehttp 12524 13392 "GET /admin/jsi18n/ HTTP/1.1" 200 965
INFO 2025-10-15 07:02:03,846 basehttp 12524 13392 "POST /admin/accounts/canteenstaff/add/ HTTP/1.1" 302 0
INFO 2025-10-15 07:02:03,864 basehttp 12524 13392 "GET /admin/accounts/canteenstaff/ HTTP/1.1" 200 3238
INFO 2025-10-15 07:02:03,898 basehttp 12524 13392 "GET /admin/jsi18n/ HTTP/1.1" 200 1060
INFO 2025-10-15 07:02:04,255 basehttp 12524 30492 "GET /media/avatars/staff/om.png HTTP/1.1" 200 59505
INFO 2025-10-15 07:02:14,224 basehttp 12524 30416 "OPTIONS /api/accounts/staff/login/ HTTP/1.1" 200 0
INFO 2025-10-15 07:02:14,226 middleware 12524 30416 API Request: POST /api/accounts/staff/login/
INFO 2025-10-15 07:02:14,556 middleware 12524 30416 API Response: POST /api/accounts/staff/login/ - 200 (0.331s)
INFO 2025-10-15 07:02:14,558 basehttp 12524 30416 "POST /api/accounts/staff/login/ HTTP/1.1" 200 206
INFO 2025-10-15 07:02:14,580 middleware 12524 30416 API Request: GET /api/menu/staff/items/
INFO 2025-10-15 07:02:14,584 middleware 12524 11356 API Request: GET /api/menu/counters/
INFO 2025-10-15 07:02:14,697 middleware 12524 30416 API Response: GET /api/menu/staff/items/ - 200 (0.116s)
INFO 2025-10-15 07:02:14,700 basehttp 12524 30416 "GET /api/menu/staff/items/ HTTP/1.1" 200 1593
INFO 2025-10-15 07:02:14,704 middleware 12524 32940 API Request: GET /api/menu/staff/items/
INFO 2025-10-15 07:02:14,758 middleware 12524 11356 API Response: GET /api/menu/counters/ - 200 (0.174s)
INFO 2025-10-15 07:02:14,759 basehttp 12524 11356 "GET /api/menu/counters/ HTTP/1.1" 200 669
INFO 2025-10-15 07:02:14,760 middleware 12524 30416 API Request: GET /api/menu/counters/
INFO 2025-10-15 07:02:14,769 middleware 12524 30416 API Response: GET /api/menu/counters/ - 200 (0.009s)
INFO 2025-10-15 07:02:14,770 basehttp 12524 30416 "GET /api/menu/counters/ HTTP/1.1" 200 626
INFO 2025-10-15 07:02:14,802 middleware 12524 32940 API Response: GET /api/menu/staff/items/ - 200 (0.098s)
INFO 2025-10-15 07:02:14,803 basehttp 12524 32940 "GET /api/menu/staff/items/ HTTP/1.1" 200 1556
INFO 2025-10-15 07:05:58,559 autoreload 12524 7308 D:\KgBites\backend\accounts\serializers.py changed, reloading.
INFO 2025-10-15 07:05:59,205 autoreload 11888 30568 Watching for file changes with StatReloader
INFO 2025-10-15 07:24:38,097 autoreload 11888 30568 D:\KgBites\backend\accounts\models.py changed, reloading.
INFO 2025-10-15 07:24:39,394 autoreload 21528 27396 Watching for file changes with StatReloader
INFO 2025-10-15 07:25:04,417 autoreload 21528 27396 D:\KgBites\backend\orders\models.py changed, reloading.
INFO 2025-10-15 07:25:05,159 autoreload 28556 4640 Watching for file changes with StatReloader
INFO 2025-10-15 07:25:26,851 autoreload 28556 4640 D:\KgBites\backend\orders\serializers.py changed, reloading.
INFO 2025-10-15 07:25:28,016 autoreload 26384 3548 Watching for file changes with StatReloader
INFO 2025-10-15 07:25:54,864 autoreload 26384 3548 D:\KgBites\backend\orders\views.py changed, reloading.
INFO 2025-10-15 07:25:55,866 autoreload 10712 26592 Watching for file changes with StatReloader
INFO 2025-10-15 07:26:04,618 autoreload 10712 26592 D:\KgBites\backend\orders\urls.py changed, reloading.
INFO 2025-10-15 07:26:05,745 autoreload 21648 6212 Watching for file changes with StatReloader
INFO 2025-10-15 07:27:05,784 autoreload 21648 6212 D:\KgBites\backend\orders\views.py changed, reloading.
INFO 2025-10-15 07:27:06,513 autoreload 17524 12884 Watching for file changes with StatReloader
INFO 2025-10-15 07:28:43,596 autoreload 17524 12884 D:\KgBites\backend\accounts\models.py changed, reloading.
INFO 2025-10-15 07:28:44,869 autoreload 28432 33060 Watching for file changes with StatReloader
INFO 2025-10-15 07:28:54,722 autoreload 28432 33060 D:\KgBites\backend\accounts\models.py changed, reloading.
INFO 2025-10-15 07:28:56,023 autoreload 2760 17920 Watching for file changes with StatReloader
INFO 2025-10-15 07:29:14,823 autoreload 2760 17920 D:\KgBites\backend\orders\models.py changed, reloading.
INFO 2025-10-15 07:29:15,883 autoreload 30888 22584 Watching for file changes with StatReloader
INFO 2025-10-15 07:29:25,793 autoreload 30888 22584 D:\KgBites\backend\orders\models.py changed, reloading.
INFO 2025-10-15 07:29:27,250 autoreload 13972 17876 Watching for file changes with StatReloader
INFO 2025-10-15 07:36:57,882 autoreload 13972 17876 D:\KgBites\backend\accounts\models.py changed, reloading.
INFO 2025-10-15 07:36:58,500 autoreload 27676 23368 Watching for file changes with StatReloader
INFO 2025-10-15 07:39:55,739 autoreload 27676 23368 D:\KgBites\backend\accounts\models.py changed, reloading.
INFO 2025-10-15 07:39:56,326 autoreload 32412 22864 Watching for file changes with StatReloader
INFO 2025-10-15 07:40:39,444 autoreload 32412 22864 D:\KgBites\backend\orders\models.py changed, reloading.
INFO 2025-10-15 07:40:39,989 autoreload 25124 22360 Watching for file changes with StatReloader
INFO 2025-10-15 07:41:21,099 autoreload 25124 22360 D:\KgBites\backend\orders\serializers.py changed, reloading.
INFO 2025-10-15 07:41:21,699 autoreload 11700 18924 Watching for file changes with StatReloader
INFO 2025-10-15 07:42:18,531 autoreload 11700 18924 D:\KgBites\backend\orders\views.py changed, reloading.
INFO 2025-10-15 07:42:18,992 autoreload 33352 27736 Watching for file changes with StatReloader
INFO 2025-10-15 07:42:25,789 autoreload 33352 27736 D:\KgBites\backend\orders\views.py changed, reloading.
INFO 2025-10-15 07:42:26,306 autoreload 17476 31312 Watching for file changes with StatReloader
INFO 2025-10-15 07:53:49,536 autoreload 17476 31312 D:\KgBites\backend\orders\serializers.py changed, reloading.
INFO 2025-10-15 07:53:50,077 autoreload 21644 20512 Watching for file changes with StatReloader
INFO 2025-10-15 07:54:01,350 autoreload 21644 20512 D:\KgBites\backend\orders\views.py changed, reloading.
INFO 2025-10-15 07:54:01,966 autoreload 29964 32912 Watching for file changes with StatReloader
INFO 2025-10-15 08:43:11,100 autoreload 28292 16556 Watching for file changes with StatReloader
INFO 2025-10-15 08:43:33,757 basehttp 28292 33744 "GET /admin/accounts/canteenstaff/ HTTP/1.1" 200 3204
INFO 2025-10-15 08:43:33,918 basehttp 28292 33744 "GET /admin/jsi18n/ HTTP/1.1" 200 1048
INFO 2025-10-15 08:43:34,008 basehttp 28292 14316 "GET /media/avatars/staff/om.png HTTP/1.1" 304 0
INFO 2025-10-15 08:43:36,891 basehttp 28292 33512 "OPTIONS /api/accounts/staff/profile/ HTTP/1.1" 200 0
INFO 2025-10-15 08:43:36,896 middleware 28292 33512 API Request: GET /api/accounts/staff/profile/
INFO 2025-10-15 08:43:36,896 basehttp 28292 25752 "OPTIONS /api/accounts/staff/profile/ HTTP/1.1" 200 0
INFO 2025-10-15 08:43:37,065 middleware 28292 33512 API Response: GET /api/accounts/staff/profile/ - 200 (0.168s)
INFO 2025-10-15 08:43:37,066 basehttp 28292 33512 "GET /api/accounts/staff/profile/ HTTP/1.1" 200 144
INFO 2025-10-15 08:43:37,069 middleware 28292 25752 API Request: GET /api/accounts/staff/profile/
INFO 2025-10-15 08:43:37,209 middleware 28292 25752 API Response: GET /api/accounts/staff/profile/ - 200 (0.139s)
INFO 2025-10-15 08:43:37,211 basehttp 28292 25752 "GET /api/accounts/staff/profile/ HTTP/1.1" 200 144
INFO 2025-10-15 08:43:37,301 basehttp 28292 25752 "OPTIONS /api/menu/staff/items/ HTTP/1.1" 200 0
INFO 2025-10-15 08:43:37,301 basehttp 28292 33512 "OPTIONS /api/menu/counters/ HTTP/1.1" 200 0
INFO 2025-10-15 08:43:37,305 basehttp 28292 9940 "OPTIONS /api/menu/staff/items/ HTTP/1.1" 200 0
INFO 2025-10-15 08:43:37,307 middleware 28292 25752 API Request: GET /api/menu/counters/
INFO 2025-10-15 08:43:37,308 middleware 28292 33512 API Request: GET /api/menu/staff/items/
INFO 2025-10-15 08:43:37,314 basehttp 28292 27812 "OPTIONS /api/menu/counters/ HTTP/1.1" 200 0
INFO 2025-10-15 08:43:37,401 middleware 28292 25752 API Response: GET /api/menu/counters/ - 200 (0.094s)
INFO 2025-10-15 08:43:37,410 basehttp 28292 25752 "GET /api/menu/counters/ HTTP/1.1" 200 721
INFO 2025-10-15 08:43:37,411 middleware 28292 27812 API Request: GET /api/menu/counters/
INFO 2025-10-15 08:43:37,427 middleware 28292 33512 API Response: GET /api/menu/staff/items/ - 200 (0.119s)
INFO 2025-10-15 08:43:37,429 basehttp 28292 33512 "GET /api/menu/staff/items/ HTTP/1.1" 200 1647
INFO 2025-10-15 08:43:37,432 middleware 28292 25752 API Request: GET /api/menu/staff/items/
INFO 2025-10-15 08:43:37,484 middleware 28292 25752 API Response: GET /api/menu/staff/items/ - 200 (0.052s)
INFO 2025-10-15 08:43:37,487 basehttp 28292 25752 "GET /api/menu/staff/items/ HTTP/1.1" 200 1610
INFO 2025-10-15 08:43:37,595 middleware 28292 27812 API Response: GET /api/menu/counters/ - 200 (0.185s)
INFO 2025-10-15 08:43:37,598 basehttp 28292 27812 "GET /api/menu/counters/ HTTP/1.1" 200 690
INFO 2025-10-15 08:43:48,151 basehttp 28292 27812 "OPTIONS /api/menu/data/ HTTP/1.1" 200 0
INFO 2025-10-15 08:43:48,155 basehttp 28292 25752 "OPTIONS /api/menu/data/ HTTP/1.1" 200 0
INFO 2025-10-15 08:43:48,157 middleware 28292 27812 API Request: GET /api/menu/data/
INFO 2025-10-15 08:43:48,281 middleware 28292 27812 API Response: GET /api/menu/data/ - 200 (0.124s)
INFO 2025-10-15 08:43:48,286 basehttp 28292 27812 "GET /api/menu/data/ HTTP/1.1" 200 1539
INFO 2025-10-15 08:43:48,291 middleware 28292 25752 API Request: GET /api/menu/data/
INFO 2025-10-15 08:43:48,302 middleware 28292 25752 API Response: GET /api/menu/data/ - 200 (0.011s)
INFO 2025-10-15 08:43:48,308 basehttp 28292 25752 "GET /api/menu/data/ HTTP/1.1" 200 1555
INFO 2025-10-15 08:44:21,674 autoreload 28292 16556 D:\KgBites\backend\accounts\models.py changed, reloading.
INFO 2025-10-15 08:44:23,110 autoreload 25884 18636 Watching for file changes with StatReloader
INFO 2025-10-15 08:47:22,227 autoreload 25884 18636 D:\KgBites\backend\accounts\migrations\0004_alter_canteenstaff_counter.py changed, reloading.
INFO 2025-10-15 08:47:23,334 autoreload 8740 30800 Watching for file changes with StatReloader
